iter	Passed	Remaining
0	724	723582
1	1073	535470
2	1622	539357
3	2516	626485
4	3162	629385
5	3654	605458
6	4156	589639
7	4581	568122
8	5090	560554
9	5646	559037
10	6457	580612
11	6813	560960
12	7355	558438
13	7704	542598
14	8014	526255
15	8406	517009
16	8694	502736
17	9106	496825
18	9475	489231
19	10002	490117
20	10719	499733
21	11443	508733
22	12556	533366
23	13100	532745
24	13688	533868
25	13972	523436
26	14383	518320
27	14796	513633
28	15696	525564
29	16039	518594
30	16407	512881
31	17043	515566
32	17543	514066
33	18362	521707
34	19098	526564
35	19185	513758
36	19671	511978
37	19994	506170
38	20257	499165
39	20928	502279
40	21513	503204
41	22208	506559
42	23051	513036
43	23488	510337
44	24251	514663
45	24778	513892
46	25382	514672
47	26040	516468
48	26901	522108
49	27292	518565
50	27491	511559
51	251	36715	66952	252	37368	667698
53	37973	665246
54	38381	659471
55	39302	662521
56	39988	661569
57	41177	668782
58	42610	679605
59	43149	676012
60	44011	677489
61	44193	668605
62	44588	663162
63	45013	658321
64	45534	655002
65	46206	653896
66	46225	643710
67	46865	642328
68	47791	644839
69	49351	655668
70	50378	659177
71	51239	660414
72	51827	658136
73	52346	655040
74	52548	648093
75	52992	644280
76	53272	638582
77	53925	637422
78	54538	635823
79	55125	633941
80	55489	629560
81	55882	625607
82	56043	619174
83	56299	613931
84	57538	619387
85	58304	619650
86	58687	615881
87	58863	610035
88	59367	607686
89	59792	604571
90	60656	605895
91	61283	604842
92	61528	600071
93	61786	595520
94	62699	597291
95	63531	598251
96	63836	594274
97	64724	595731
98	65384	595061
99	65892	593028
100	66381	590858
101	66594	586290
102	67015	583621
103	67335	580118
104	67842	578279
105	68407	576948
106	69192	577465
107	69983	578011
108	70941	579898
109	71860	581417
110	72771	582829
111	72952	578411
112	73294	575332
113	74082	575765
114	74665	574596
115	75327	574045
116	76497	577324
117	76640	572852
118	76815	568693
119	77231	566360
120	77726	564640
121	78699	566375
122	79546	567173
123	80161	566298
124	80839	565876
125	81077	562393
126	81472	560039
127	81716	556695
128	82248	555335
129	83276	557308
130	83518	554028
131	83996	552340
132	84421	550327
133	84981	549206
134	85615	548573
135	86810	551501
136	87496	551164
137	88804	554707
138	89624	555158
139	89789	551563
140	90108	548956
141	90378	546088
142	91058	545717
143	91247	542416
144	91605	540155
145	92044	538399
146	92566	537135
147	92945	535066
148	94100	537447
149	94591	536017
150	95038	534358
151	95476	532656
152	95651	529524
153	96504	530146
154	96717	527268
155	97212	525944
156	97790	525076
157	98522	525038
158	99140	524387
159	99509	522424
160	100348	522935
161	101004	522482
162	101515	521280
163	102206	521002
164	102622	519333
165	102865	516808
166	103377	515648
167	104010	515100
168	104721	514931
169	105485	515015
170	105959	513687
171	105997	510264
172	106693	510030
173	107488	510263
174	108012	509203
175	108752	509157
176	109398	508670
177	110504	510307
178	111199	510027
179	111797	509299
180	112434	508751
181	112858	507242
182	113418	506355
183	114067	505863
184	114366	503829
185	114787	502348
186	116218	505269
187	116480	503094
188	117153	502704
189	117892	502592
190	118448	501700
191	119472	502778
192	120200	502600
193	121092	503094
